bad,good,id,name
230,129,307350,Nux
1,18,373600,Weapon of Choice
333,4280,278360,A Story About My Uncle
201,95,449630,Rage Parking Simulator 2016
140,1265,15700,Oddworld: Abe's Oddysee
42,150,356200,Keen Dreams
613,1661,262150,Vanguard Princess
163,415,363620,Tea Party Simulator 2015\u2122
12,147,341120,Glorkian Warrior: The Trials Of Glork
336,1554,284950,Pixel Puzzles: Japan
294,86,392050,Galactic Hitman
88,341,287120,Ionball 2 : Ionstorm
9,39,284200,Robot Rescue Revolution
29,204,252170,Anomaly Warzone Earth Mobile Campaign
31,224,383930,Doorways: Holy Mountains of Flesh
12325,156844,72850,The Elder Scrolls V: Skyrim
188,1290,313020,Soul Gambler
190,728,224220,Pressure
477,4594,249050,Dungeon of the Endless
1043,796,275490,Canyon Capers
999,32137,220,Half-Life 2
147,275,248470,Doorways: Prelude
361,202,344750,Deadly Profits
244,480,441870,OutDrive
30,27,422100,Heaven Island Life
51,134,416270,GooCubelets 2
158,49,424830,Bell Ringer
830,358,382240,Blood of Old
435,398,301750,RADical ROACH Deluxe Edition
1817,9948,70000,Dino D-Day
258,1201,252150,Grimm
442,1414,201570,Really Big Sky
90,616,268240,Mechanic Escape
1880,6839,224600,Defiance
180,618,234940,The 39 Steps
194,151,391740,Blaster Shooter GunGuy!
,,224420,Afterfall InSanity Extended Edition
355,1417,253900,Knights and Merchants
240,1329,283290,Nosferatu: The Wrath of Malachi
200,303,403740,GabeN: The Final Decision
264,408,321260,Wickland
76,376,257120,Not The Robots
319,145,257890,Frozen Hearth
99,187,283660,Rabbit Hole 3D: Steam Edition
121,444,314250,Jet Gunner
212,1183,91900,Post Apocalyptic Mayhem
,,222900,Dead Island: Epidemic
837,3172,253980,Enclave
15,43,346140,Hidden Object Bundle 5 in 1
312,240,295930,Swipecart
368,88,291330,Final Slam 2
129,547,307070,Memories of a Vagabond
,,247830,Aerena
599,6047,300,Day of Defeat: Source
146,1212,235250,Super Sanctum TD
1296,12101,17410,Mirror's Edge
115,224,234290,Zack Zero
1588,1934,239450,Gun Monkeys
243,653,24800,Command and Conquer: Red Alert 3 - Uprising
53,314,202730,Dynamite Jack
32,360,255870,PixelJunk\u2122 Shooter
173,292,307170,Borealis
3586,36136,224260,No More Room in Hell
973,1957,47790,Medal of Honor(TM) Single Player
328,3141,444560,Agent Origins: Escape
134,479,11340,Larva Mortus
43,113,382350,Devil's Bluff
84,1041,354500,PAYDAY: The Web Series - Episode 1
202,1906,30,Day of Defeat
,,390160,Crookz - The Short Movie
71,712,411180,Dota 2 - The International 2015 - Player Profiles
16,123,425680,Ultimate Grenade Tutorial - Hardsurface 3D Course
3,31,452220,In Search of the Most Dangerous Town on the Internet: Where Cybercrime Goes to Hide
143,1603,413850,CS:GO Player Profiles
324,1022,296910,8BitBoy
3334,4203,102700,A.V.A - Alliance of Valiant Arms
322,743,285580,ACE - Arena: Cyber Evolution
124,855,211440,Adventures of Shuggy
,,105430,Age of Empires Online
,,265650,Age of Wushu
76,333,375600,Air Brawl
8,11,358280,Alien Carnage \/ Halloween Harry
80,1252,41300,Altitude
650,1303,13140,America's Army 3
1323,4361,203290,America's Army: Proving Grounds
38,51,302190,Amerzone: The Explorer's Legacy
7877,15318,113400,APB Reloaded
,,238110,Arcane Saga Online
1608,5210,207230,Archeblade
6,10,358170,Arctic Adventure
871,2262,65790,Arma: Cold War Assault
91,87,228320,A Valley Without Wind 2
127,233,46410,Avencast
,,358430,Balls of Steel
93,405,37420,"Ben There, Dan That!"
373,2599,203750,Binary Domain
3,27,358180,Bio Menace
151,333,21680,Bionic Commando Rearmed
185,110,27330,Blacklight: Tango Down
73,16,398210,BlackShadows
3,14,358190,Blake Stone: Aliens of Gold
3,6,358310,Blake Stone: Planet Strike
132,131,257630,Blast Em!
1918,5821,299360,Block N Load
169,1132,6370,Bloodline Champions
1,3,367290,Bloodsports.TV - Blood Brawl
130,112,340200,Bloop
127,102,40940,Borderlands DLC: Mad Moxxi's Underdome Riot
23,181,50110,Borderlands DLC: The Secret Armory of General Knoxx
18,214,8990,Borderlands DLC: The Zombie Island of Dr. Ned
,,109410,Brawl Busters
1858,17634,291550,Brawlhalla
966,6304,24740,Burnout Paradise: The Ultimate Box
,,377540,Cast of the Seven Godsends - Soundtrack
268,409,222520,Champions of Regnum
483,226,287100,Chaos Domain
26,41,360130,Cloud Knights
,,254020,Commander: Conquest of the Americas Gold
96,675,4720,Condemned: Criminal Origins
99,148,266450,Conquest of Champions
5,14,298810,Consortium Soundtrack and Discoveries
84,637,227240,Construct 2 Free
4,20,358250,Cosmo's Cosmic Adventure
1337,61872,10,Counter-Strike
641,5718,80,Counter-Strike: Condition Zero
641,5718,100,Counter-Strike: Condition Zero Deleted Scenes
2157,48990,240,Counter-Strike: Source
852,902,11390,Crash Time II
42,38,359290,Crazy Cars - Hit the Road
861,901,38830,CrimeCraft GangWars
7,390,368340,CrossCode
966,4219,108800,Crysis 2 Maximum Edition
6,21,358260,Crystal Caves
143,1603,413858,CS:GO Player Profiles - Device
143,1603,413856,CS:GO Player Profiles - Edward
143,1603,413859,CS:GO Player Profiles - Fallen
143,1603,458300,CS:GO Player Profiles - fnx
143,1603,458310,CS:GO Player Profiles - Friberg
143,1603,413853,CS:GO Player Profiles - Get_Right
143,1603,458270,CS:GO Player Profiles - Guardian
143,1603,458280,CS:GO Player Profiles - Happy
143,1603,458250,CS:GO Player Profiles - Karrigan
143,1603,413855,CS:GO Player Profiles - KennyS
143,1603,458320,CS:GO Player Profiles - Maikelele
143,1603,413857,CS:GO Player Profiles - Markeloff
143,1603,413851,CS:GO Player Profiles - N0thing
143,1603,413854,CS:GO Player Profiles - Olofmeister
143,1603,458260,CS:GO Player Profiles - pashaBiceps
143,1603,413852,CS:GO Player Profiles - Taz
57,63,283410,CT Special Forces: Fire for Effect
73,233,235720,Cubetractor
3,7,358440,Dark Ages
,,314750,Deadbreed\u00ae \u2013 Undertaker Beta Pack
569,4989,17470,Dead Space
134,707,40,Deathmatch Classic
6,41,358270,Death Rally (Classic)
1486,1865,270170,Depression Quest
95,46,283330,Desert Thunder
6159,18933,333930,Dirty Bomb
,,415880,Disc Jam
,,221080,District 187
230,1193,11610,Dragon Nest
,,258700,Dragon Nest Europe
537,1988,263500,Dragons and Titans
125,123,266030,DRAKERZ-Confrontation
,,240160,Duke Nukem
,,240180,Duke Nukem 2
,,359850,Duke Nukem 3D
,,240200,Duke Nukem: Manhattan Project
1643,6254,236110,Dungeon Defenders II
248,155,215870,Dungeon Party
204,1241,213650,Dwarfs F2P
,,259300,Earth 2150: Lost Souls
,,259280,Earth 2150: The Moon Project
,,254000,East India Company Gold
16,15,366530,Esenthel Engine
100,25,283350,Eurofighter Typhoon
129,319,205710,EverQuest Free-to-Play
187,582,201230,EverQuest II
20,20,324770,Experience 112
55,236,297210,Famaze
,,280620,Fiesta Online
169,192,300970,Fiesta Online NA
111,2604,302380,Floating Point
,,219870,Football Superstars
208,572,36620,Forsaken World 
1369,3802,310380,Fractured Space
543,10573,245550,Free to Play
369,632,218310,Frontline Tactics
44,151,435060,GameLooper
1,53,396960,Gaokao.Love.100Days - Yes Monitress
275,107,267940,Glacier 3: The Meltdown
,,17020,Global Agenda
34,39,322980,Gods vs Humans
121,415,253920,Gorky 17
1223,7379,206210,Gotham City Impostors: Free To Play
36,36,363480,Grave Prosperity: Redux- part 1
48,144,8660,GTR Evolution
524,1047,293540,Guns and Robots
275,170,70120,Hacker Evolution Duality
11,14,294770,Haegemonia: Legions of Iron
419,10917,70,Half-Life
398,3581,320,Half-Life 2: Deathmatch
205,3810,380,Half-Life 2: Episode One
214,5298,420,Half-Life 2: Episode Two
728,3272,340,Half-Life 2: Lost Coast
209,1569,290930,Half-Life 2: Update
192,1788,130,Half-Life: Blue Shift
127,2502,50,Half-Life: Opposing Force
401,1900,280,Half-Life: Source
176,561,360,Half-Life Deathmatch: Source
234,1747,205230,Hell Yeah!
82,584,283880,Heroine's Quest: The Herald of Ragnarok
122,958,6850,Hitman 2: Silent Assassin
,,205930,Hitman: Sniper Challenge
6,28,358290,Hocus Pocus
,,55130,HOMEFRONT Demo
268,72,267960,Hyper Fighters
64,362,206690,iBomber Defense Pacific
341,125,248710,Iesabel
37,57,407620,Indie Game Battle
44,98,380890,In Search of the Most Dangerous Town on the Internet
14,21,296180,Iron Storm
378,2041,205950,Jet Set Radio
24,71,382120,Journey To The Center Of The Earth
256,1961,351570,Killing Floor: Uncovered
689,1413,227180,Kingdom Wars
213,234,254060,KnightShift
302,16183,374570,Kung Fury
4,16,355500,Leadwerks Game Launcher
453,8709,500,Left 4 Dead
188,140,283430,Litil Divil
7,25,60340,LUXOR: 5th Passage 
,,201190,Magic: The Gathering \u2013 Tactics
2,6,358300,Major Stryker
,,234310,March of War
336,163,283370,Marine Sharpshooter II: Jungle Warfare
12,9,401420,Match 3 Revolution
5,16,358200,Math Rescue
973,1957,47830,Medal of Honor(TM) Multiplayer
,,47799,Medal of Honor Pre-Order
73,138,108210,Memoir '44 Online
1096,14023,43110,Metro 2033
912,2379,109400,MicroVolts Surge
3,12,358210,Monster Bash
92,79,324760,Monster Truck Destruction
41,571,296710,Monstrum 
2,8,358240,Monuments of Mars
39,324,361720,Mortal Kombat: Legacy - Ep. 3: Johnny Cage
39,324,361730,Mortal Kombat: Legacy - Ep. 4: Kitana & Mileena (Part 1)
39,324,361740,Mortal Kombat: Legacy - Ep. 5: Kitana & Mileena (Part 2)
39,324,361750,Mortal Kombat: Legacy - Ep. 6: Raiden
39,324,361760,Mortal Kombat: Legacy - Ep. 7: Scorpion and Sub-Zero (Part 1)
39,324,361770,Mortal Kombat: Legacy - Ep. 8: Scorpion and Sub-Zero (Part 2)
39,324,361780,Mortal Kombat: Legacy - Ep. 9: Cyrax & Sektor
15,137,362180,Mortal Kombat: Legacy II - Ep. 1: Reunited in Macau
15,137,362190,Mortal Kombat: Legacy II - Ep. 2: The Fall of Liu Kang
15,137,362200,Mortal Kombat: Legacy II - Ep. 3: Kenshi's Origin
15,137,362210,Mortal Kombat: Legacy II - Ep. 4: Kenshi Encounters Ermac
15,137,362220,Mortal Kombat: Legacy II - Ep. 5: Kitana and Mileena
15,137,362230,Mortal Kombat: Legacy II - Ep. 6: Johnny Cage
15,137,362240,Mortal Kombat: Legacy II - Ep. 7: Scorpion and Sub-Zero (Part 1)
15,137,362250,Mortal Kombat: Legacy II - Ep. 8: Scorpion and Sub-Zero (Part 2)
15,137,362260,Mortal Kombat: Legacy II - Ep. 9: Liu Kang
15,137,362270,Mortal Kombat: Legacy II - Ep. 10: Liu Kang and Kung Lao
475,2098,274900,Murder Miners
1,10,358220,Mystic Towers
44,16,386320,Naninights
124,79,368750,Nebula Online
772,1620,244630,NEOTOKYO\u00b0
3504,13781,109600,Neverwinter
69,221,330570,Noct
28,67,287720,Nostradamus: The Last Prophecy
271,188,311400,OCEAN CITY RACING
50,132,243000,Omikron - The Nomad Soul
2,6,399840,One Way To Die: Deluxe Upgrade
114,151,388490,One Way To Die: Steam Edition
58,292,308580,Orborun
4,3,358230,Paganitzu
,,106010,Pandora Saga: Weapons of Balance
1361,2457,240320,Panzar
2013,28134,238960,Path of Exile
6,7,358330,Pharaoh's Tomb
543,1625,238260,Pinball Arcade
,,254040,Pirates of Black Cove Gold
14,33,371690,Pixel Space
4561,26024,218230,PlanetSide 2
447,24823,400,Portal
181,128,247120,Portal 2 Sixense Perceptual Pack
56,63,46550,Post Mortem
109,273,201210,Pox Nora
,,384180,Prominence Poker
22,26,60600,ProtoGalaxy
32,56,385220,Pulut Adventure
170,741,99910,Puzzle Pirates
,,304890,Quantum Rush Online
269,1282,8600,RACE 07
